"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","신청접수일 등 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천방법 상세내용","제출서류 상세내용"
"1308","경희대학교","경희동문장학","대학교","장학금","기타","특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","입학학기 등록금 50% (입학금 제외) 。입학시 1회만 지급 。등록금 지원장학으로 타장학 수혜자는 등록금 범위 내에서 장학수혜 가능","2022학년도 신·편입생 중 부모 모두가 본교 학부 졸업생인 학생","해당없음","2022-03-14~2022-03-31","해당없음","해당없음","경희사이버대학 제외","해당없음","경희동문장학 신청서 1부부모 모두의 본교(학부) 졸업증명서 각 1부관계가 증명되는 주민등록등본 혹은 학생 기준의 가족관계증명서 1부"
"1309","경희대학교","경희형제자매장학","대학교","장학금","기타","특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","입학학기 등록금 50% (입학금 제외)입학시 1회만 지급 * 등록금 지원장학으로 타 장학 수혜자는 등록금 범위 내에서 장학 수혜 가능","2022학년도 신·편입생 중 본교 학부 (국제 C포함)에 직계 형제·자매가 재적(재학 및 휴학) 중인 학생","해당없음","2022-06-13~2022-07-17","해당없음","해당없음","해당없음","해당없음","경희형제자매장학 신청서 1부직계 형제/자매의 재학(휴학) 증명서 1부   * 모든 증명서는 2022. 03. 01. 이후 발급된 것만 유효관계가 증명되는 주민등록등본 혹은 부모 기준의 가족관계증명서 1부"
"1310","경희대학교","모자이크장학","대학교","장학금","특기자","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","정규학기 재학생 중 직전학기 취득 원성적 2.0 이상/ 이수학점 12학점 이상인 자(6년제 의약학계열 15학점)","해당없음","100000원 ~ 2000000원 * 자세한 사항은 경희대학교 장학게시판 참고 * 교내·외 타장학금과 중복 수헤 가능","모자이크 장학분야별/ 항목별/ 등급별 포인트 합계가 10만 포인트 이상인 자","해당없음","2022-06-13~2022-07-17","진로역량/ 국제화 역량 평가하여 선발","해당없음","해당없음","해당없음","종합정보시스템 온라인 신청장학신청 전 본인의 실적을 종합정보시스템 개인역량관리에 등록한 후 증비설을 단과대학 핵정실로 제출하여 실적에 대한 확인 및 승인을 받아야 함"
"1311","경희대학교","고시장학(A·B)","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 학업성적이 평균평점 2.0 이상 이수학점 12학점 이상 (의학약계열 15학점 이상) 이수","해당없음"," * 고시장학 A1차합격 : 재학중 1회에 한하여 합격한 학기에 3000000원 지급최종합격 : 재학 중 1회에 한하여 합격한 학기에 5000000원 지급 * 고시장학 B등록금 전액 또는 일부"," 고시장학 A : 행정고등고시/ 외무고등고시/ 기술고등고시/ 입법고등고시/ 공인회계사/ 변리사시험에 1차 또는 최종 합격한 자고시장학 B : 학업성적이 우수하고 가정환경이 어려운 자로서 고시반 지도교수가 추천한 자","해당없음","2022-08-03~2022-08-12","해당없음","해당없음","해당없음","고시장학 B : 고시반 지도교수의 추천 필수"," * 학교 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수. 고시합격증명서 1부"
"1312","경희대학교","목련장학(대학원)","대학교","장학금","소득구분","일반대학원/특정대학","박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 평균평점 3.0이상","기초생활수급권자인 학생차상위계층인 학생2021년 연소득액 49673845원 이하2021년 세금 연간납부액 413496원 이하2021년 건강보험료 납부액 평균 납입액 162420원 이하","신청자의 가계곤란 상황에 따라 등록금 또는 생활비 지원","장애 13 등급인 학생북한 이탈주민 혹은 그 자녀인 학생 ","해당없음","2022-05-09~2022-05-27","장학위원회에서 지원자의 상황 및 증빙서류를 종합적으로 심사","해당없음","수업료 전액(입학금제외) 기수혜자는 신청 불가2022학년도 2학기 신입생 제외","해당없음","장학금 신청서자기소개서 및 연구계획서개인정보 활용 동의서주민등록등본/ 가족관계증명서해당 관련 증명서 "
"1313","경희대학교","경영대학 자격증장학","대학교","장학금","특기자","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/연령제한/제한없음","인문계열/특정학과","직전학기 평균 평점 2.0이상이고 취득학점 12학점 이상인 자교환학생은 9학점 이상 이수 및 해당 과목 Pass한자계절학기 성적 불인정","해당없음","대상 자격증 및 장학금액 : 경영대학 홈페이지 공고참고","경희대학교 경영대학 재학생자격증 장학 지급기준에 해당하는 자격증을 취득한 자자격증 취득일 후 1년 이내로 제출한 경우에 한함 ","해당없음","2022-03-25~2022-04-15","해당없음","해당없음","학생 1인당 재학 중 최대 2개의 자격증까지 장학지급단 휴학기간은 제출연한 (1년)에 산입하지 않음휴학생 신청불가정규학기 초과자 (8학기 초과자) 신청불가이중지원 제한(한국장학재단 및 기타 학자금 지원 잔액의 합이 등록금 초과할 경우 지원제한)","해당없음"," * 교내장학금으로 경희대학교 경영대학 장학공지 참고 자격증 장학신청서/ 합격증 또는 자격증(*유효기간이 만료된 자격증이나 동일 자격증으로 장학수혜가 있을경우/ 신청불가) * 온라인신청"
"1314","경희대학교","경희꿈도전장학","대학교","장학금","기타","4년제(5~6년제포함)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1000000원 ~ 4000000원 * 팀 또는 개인으로 선발되며 자세한 사항은 첨부파일 참조","20221학기 기준 3학기 이상의 정규학기 재학생꿈을 실현하기 위한 도전의지가 있는 학생도전분야 : 창업 / 연구 / 자유주제","해당없음","2022-06-13~2022-07-17","(1단계) 서류평가(100)으로 최종선발인원의 1.5~2배수 선발(2단계) 면접평가 후 서류평가(100점) + 면접평가(100점)로 최종대상자 선정 * 자세한 평가항목은 첨부파일 참조","50명/팀 내외","2022년 8월 졸업예정자정규학기 초과자장학규정 위배자20221학기 휴학(예정)자경희꿈도전장학 기수혜자경희꿈도전장학 신청주제로 타 장학금을 수혜하거나 학점을 이수한 경우","지도교수의 추천서 제출","경희꿈도전장학 신청서경희꿈도전장학 활동계획서경희꿈도전장학 지도교수 추천서 * 자세한 사항은 첨부파일 참조"
"1315","경희대학교","보훈장학금","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학신입생/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 평균평점 2.0 이상직전학기 이수학점 12학점 이상(의약학계열 15학점) * 국가유공자 본인은 학업성적 제한 없음","해당없음","등록금 전액 ","20222학기 기준 경희대학교 정규학기 재학생으로/ 국가유공자의 (손)자녀 혹은 본인","해당없음","2021-01-06~2021-01-18","해당없음","해당없음","해당없음","해당없음"," * 교내장학금으로/ 자세한 사항은 장학팀으로 문의 ** 인포 21 > 등록/장학 > 장학신청 > 20222학기 교내 장학 신청에서 신청. 계속 장학생은 별도 신청서류 없음대학입학금 및 수업료면제대상자증명서(신규 신청자)가족관계증명서 등 유공자와의 관계증빙서류(신규 신청자)본인 신분증 사본(신규 신청자)"
"1316","경희대학교","신용보증기금경희동문회장학생","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/연령제한/제한없음","특정학과","장학생 선정 후 평점 3.5이상 유지할 시 계속 장학금 지급","가정형편이 어려운 학생","등록금 전액 (1년 간)","경희대학교 경상계열 재학생으로 성적이 우수하고 가정형편이 어려운 학생","해당없음","2022-06-27~2022-07-10","대학 추천 및 재단 심사 거쳐 최종 장학생 선발","1명","2020학년도 휴학(예정)자 제외","학(과)장의 추천서 제출","장학금 신청서자기소개서추천서(소정 양식)성적증명서부모의 건강보험료 납부확인서 및 건강보험증 사본 또는 소득분위 확인서 * 자세한 사항은 교내 홈페이지 공고 참조"
"1317","경희대학교","호텔관광대학 자격증장학","대학교","장학금","특기자","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","특정학과","20221학기 재학생 중 직전학기 취득학점이 12학점 이상이고 취득한 학점의 평균평점이 2.0 이상 인 자","해당없음","자격증 1건 당 200000원","호텔관광대학교 재학생으로/ 성적요건을 충족하며 재학 기간 중 전공 관련 자격증을 취득한 학생 * 한국산업인력공단 등 국가기관에서 발급하는 자격증에 한하며/ 협회 및 사단법인 주관의 자격증은 불인정","해당없음","2022-09-01~2022-10-02","행정실에서 신청 접수 후 장학위원회의 심사를 거쳐 선발","O명","초과학기(9학기 이상) 재학생 및 수료생은 지급 불가","해당없음","자격증 장학금 신청서자격증"
"1318","경희대학교","우정장학(학업장려금)","대학교","장학금","소득구분","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 이수학기 12학점(의약학계열 15학점) 이상 이수/ 평점평균 2.0 이상직전학기가 교확학기 또는 장기현장연수인 경우 9학점 이상 Pass","20222학기 국가장학금 0~3분위 소득분위","600000원 * 등록금 초과수혜 가능","20222학기 기준 정규학기 재학생 * 20222학기 국가장학금을 반드시 신청해야함","해당없음","2022-06-13~2022-07-17","해당없음","해당없음","장학금 전액 수혜자현재학기 휴학 및 정규학기 초과자기타 장학규정 장학금 지급제한(징계 등)에 해당하는 자타 단순 생활비성 장학 수혜자의 경우 선발에서 제외될 수 있음","해당없음","인포21> 등록/장학> 장학신청> 20222학기 교내장학 신청 * 학업계획서 작성"
"1319","경희대학교","경희가족장학금","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 평균평점2.0이상직전학기 이수학점 12학점(의약학계열 15학점)이상","해당없음","본교 법인 경희사이버대학교 : 등록금(입학금제외) 전액의료원 병설교  : 등록금(입학금제외)의 65%정년 명예 퇴직한 본교 교 직원이 재직 중 입학한 자녀 : 등록금(입학금제외) 전액","학교법인 경희학원 및 그 산하기관에 봉직하는 교·직원 및 그 직계 자녀반드시 교내장학금과 국가장학금을 신청","해당없음","2021-12-15~2022-01-14","해당없음","해당없음","정규학기 내 지급(일반학과 : 8학기/ 의약학계열 : 12학기)","해당없음","경희가족장학 신청서부 혹은 모의 재직증명서관계가 증명되는 주민등록등본 혹은 학생 기준의 가족관계증명서"
"1320","경희총민주동문회","이수병장학생","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1인당 생활비 2000000원","이수병선생의 모교인 경희대학교 재학생들 이수병선생의 삶을 따라 선생의 정신을 이어갈 청년들","해당없음","2022-04-25~2022-05-13","구비된 서류를 제출하면 이수병장학회에서 선발","서울/ 국제캠퍼스 구분 없이 총 5명","2022년 2월 졸업예정자/ 3월 입학예정자/ 1학기 휴학예정자 제외","해당없음"," * 학교 제출 : 각 캠퍼스 학생지원센터(장학)으로 방문 제출자기소개서(온라인 다운로드)추천서 2인 이상(자신을 가장 잘 아는 사람이 이수병장학생으로 추천하는 사유를 적어 제출하면 됨. 추천자 인적사항 기입요망)"
"1321","주심장학재단","주심장학생","민간(기타)","장학금","소득구분","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)/특정대학","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","가정형편이 어려워 학비지원이 필요한 자","대학 대학원생: 연간 250만원전문대생: 연간 150만원(생활비성 목적으로 등록금 범위 초과 지급 가능)","국내 정규 고등학교 이상의 학교에 재학하는 자대한민국 국민으로서의 국가관이 투철한 자학업성적이 우수하고 학비조달이 어렵다고 인정되는 자* 학교별 신청자격/ 성적기준/ 조건 확인 필수","해당없음","2022-05-24~2022-06-02","본 재단 장학위원회의 서류심사면접 또는 가정방문 등 기재사항 확인 후 장학생 최종 선발확정결과 본인과 소속학교의 장에게 통지"," * 대학·대학원생 : 33명 * 전문대생 : 23명","학교에서 장학 제적처분을 받았을 때휴학하였을 때장학금을 목적 외에 사용하였을 때기타 장학금의 지급을 중지할 필요가 있다고 인정될 때장학금을 필요로 하지 않는 사유가 발생하였을 때","지도교수 또는 총(학)장 추천서"," * 학교 추천 방식으로/ 신청시 학교 장학부서에 문의 필수장학금신청서(소정양식)자기소개서추천서서연구계획서(대학원생에 한함)"
"1322","일본정부(문부과학성)","연구유학생","관계부처","장학금","기타","4년제(5~6년제포함)/일반대학원/전문대학원/해외대학","대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)/연령제한","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","월약 143000엔 ~ 145000엔대학의 입학금 수업료 및 입학 검정료 및 여비지원 ※ 자세한 사항 첨부파일 참고 ","연령: 1988년 4월 2일 이후 출생한 자학력: 일본의 대학졸업 또는 졸업예정자와 동등한 자격을 가진 자국적: 일본 정부와 국교를 맺고 있는 나라의 국적 보유자 ※ 자세한 사항 첨부파일 참고 ","해당없음","2022-05-24~2022-06-02","서류제출필기시험","미정(2022년도: 이공계 분야 15명/ 그 외 분야 20명 선발)","일본 입국 시 또는 장학금 지급 기간에 현역 군인 또는 군속인 자과거 일본 정부 장학금 유학생이었던 자일본 정부 장학금 제도 중 다른 프로그램과 중복 신청한 자신청시 이미 유학 재류자격으로 일본 대학 등에 재적 중인 자박사 과정 수료자 중/ 학위 취득을 목표로 하지 않는 자 ※ 자세한 사항 첨부파일 참고","해당없음","신청서배치 희망 대학 신청서전공 분야 및 연구 계획모든 출신 대학 및 대학원 전체 성적 증명서모든 출신 대학 및 대학원 전체 졸업(수료) 증명서 또는 학위취득 증명서재적 대학 또는 최종 출신 대학의 장 또는 담임 교원의 추천장건강진단서학위논문 개요 등(해당자)어학능력증명서(해당자)현 직장 상사의 추천서(해당자)작품 사진 또는 연주 녹음 전자 매체 등(해당자) ※ 자세한 사항 첨부파일 참고  * 추천기관은 반드시 추천자의 자격을 확인하고 제출마감일이전까지 서류를 수합하여 추천할 것 * 개별접수 희망자 본인이 직접 작성하여 대사관에 제출서류를 직접제출"
"1323","일본정부(문부과학성)","학부유학생","관계부처","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)/해외대학","연령제한","공학계열/사회계열/인문계열/자연계열","해당없음","해당없음","월 117000엔대학의 입학금 수업료 및 입학 검정료 및 여비 제공 * 자세한 사항은 첨부파일 참조","국적: 일본 정부와 국교를 맺고 있는 나라의 국적 보유자연령: 1998년 4월 2일 이후에 출생한 자학력: 외국에서 학교 교육 12년 과정을 수료한 자 혹은 외국에서 일본의 고등학교에 대응하는 학교 과정을 수료한 자 등 자세한 내용은 홈페이지 모집요강 참고","해당없음","2022-05-24~2022-06-02","해당없음","해당없음","일본 입국 시 또는 장학금 지급기간에 현역 군인 또는 군속인 자과거 일본 정부 장학금 유학생이었던 자신청시 이미 유학 재류자격으로 일본 대학 등에 재적하고 있는 자 또는 재적 예정인 자 * 자세한 사항은 첨부파일 혹은 국립국제교육원 공고글 참고","담임교원 또는 최종 출신학교장의 추천서 제출","신청서직접배치 희망대학 신청서(해당자)출신 고등학교 및 대학 전 학년 성적 증명서출신 고등학교 및 대학 졸업 증명서담임교원 또는 최종 출신학교장의 추천서재학증명서(해당자)대학입학자격 등 인정시험 합격증명서(해당자)어학능력증명서(해당자) * 자세한 사항은 첨부파일 참고"
"1324","일본정부(문부과학성)","한일 공동 고등교육 유학생 교류사업","관계부처","장학금","성적우수","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)/해외대학","대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/자연계열","최종학력의 GPA 성적이 3.0 만점에 2.3점 이상인 자","해당없음","월 143000엔 ~ 145000엔대학의 입학금 수업료 및 입학 검정료 및 여비 "," * 모집분야 : 이공계분야(이학계/공학계/농학계)대한민국 국적을 가진자 또는 가질예정인 자로/ 일본 대학원의 석사 과정 또는 박사과정(전기/후기) 입학을 희망하는 자로 자격을 충족하는 자 * 자세한 사항은 첨부파일 참조","해당없음","2022-05-11~2022-06-10","해당없음","15명 정도","휴학생졸업예정자과거 일본 정부(문부과학성) 장학금 유학생이었던 자 * 자세한 사항은 첨부파일 참고","해당없음","신청서배치 희망 대학 신청서전공 분야 및 연구 계획출신 대학 및 대학원 전체 성적 증명서출신 대학 및 대학원 전체 졸업(수료) 증명서 또는 학위취득증명서재적 대학 또는 최종 출신 대학의 장 또는 담임 교원의 추천장건강 진단서학위논문 개요 등(해당자)어학능력증명서(해당자)현 직장상사의 추천서(해당자) * 자세한 사항은 첨부파일 참조"
"1325","서강동문장학회","장학금","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 취득학점이 12학점 이상인 학생2.0/4.5 이상인 학생 * 신입생은 추후 1학기 성적 및 취득학점 반영된 성적증명서 제출","해당없음","500000원 내외 ~ 등록금 전액","2022년 2학기 등록 재학생 서강대학교에 재학중인 학생 중 장학금 요건을 충족하는 자 * 9학기 이상 추가학기 등록학생 신청 가능 * 재학생 및 휴학생 모두 신청 가능 * 자세한 사항은 공고 참고 필수","해당없음","2022-06-13~2022-07-11","해당없음","100명 ~150명 내외 ","해당없음","해당없음","장학금 신청서학업계획서성적증명서2022년 2학기 학자금 지원구간 통지서 * 가산점 서류 및 자세한 사항은 서강대학교 장학공고 참고"
"1326","경북대학교","비전장학금","대학교","장학금","소득구분","일반대학원/전문대학원/특정대학","박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," * 비전장학금 Ⅰ : 가계곤란자 직전학기 평점평균 1.7 이상 * 비전장학금 Ⅱ : 가계곤란+성적우수자 직전학기 평점평균 3.0 이상","1순위 : 기초생활수급자2순위 : 차상위계층3순위 : 세대원 합산 월 평균 건강보험료 납부액 174596원 미만이며 경제적 사정이 곤란하여 학과장 또는 지도교수의 추천을 받은 자","일반·특수대학원 : 등록금 일부전문대학원 : 등록금 전액 또는 일부","경북대학교 대학원 재학생(복학예정자 포함) 중 가계곤란 학생 * 법학전문대학원은 자체기준에 의거하여 선발","해당없음","2022-05-16~2022-05-26","학생 신청에 의한 선발 2022학년도 2학기 장학생 배정인원(추후 통보)에 포함하여 학과 추천 선발대학등록금에 관한 규칙 제3조와 관련 가계곤란학장학생 비율이 충족 될 수 있또록 선발 기준 내 포함되는 학생은 가급적 전원 선발 * 자세한 사항은 첨부파일 참고","해당없음","등록금 이월자/ 수업연한 초과자/ 법학전문대학원생 제외","학과장 또는 지도교수의 추천","20222학기 비전장학금 신청서주민등록등본가족관계증명서소득증빙서류(택1)  * 교내장학금으로/ 자세한 사항은 첨부파일 또는 홈페이지 내 공고참조"
"1327","경북대학교","장학사정관장학금","대학교","장학금","기타","4년제(5~6년제포함)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 6학점 이상 이수/ 직전학기 백분위성적 73점 이상(F학점 포함)","해당없음","등록금 일정액( 학생의 가계곤란 및 성적 등을 종합적으로 고려하여 장학금액 결정) ※ 등록금 범위 내"," * 갑작스런 가정환경을 변화로 가계 곤란을 겪는 학생 중 장학사정관이 추천한 학부재학생보호자(부/ 모)의 실직/ 파산 등보호자(부/ 모)가 장애인(1급~3급)보호자(부/ 모)가 중증질환 투병(중증질환/ 희귀난치성 질환)자연재해 등 천재지변의 피해기타 가계곤란 정도를 증명할 수 있는 경우","해당없음","2021-10-07~2021-10-20","장학사정관과의 개별 상담 및 선발위원회의 선발","해당없음","수업연한 초과자 ※ 국가장학금(수혜횟수 8회 이내)인 경우 수업연한 초과자 지급 가능휴학자장학금 전액 수혜자"," * 장학사정관 지정자의 추천 필요학생 소속 대학 : 부학장/ 학과장장학담당부서 : 학생부처장/ 학생과장/ 장학복지팀장","장학금 신청서가계곤란 사유서가족관계증명서 (부 또는 모 명의)본인 통장사본소득확인서류신청유형별 증빙서류국가장학금 미신청 사유서 및 계획서 (국가장학금 미신청자 또는 학자금 지원 구간 결과가 없는 자에 한함) * 교내장학금으로/ 자세한 내용은 첨부파일 참조 "
"1328","경북대학교","KNU공로장학금","대학교","장학금","기타","4년제(5~6년제포함)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2000000원 이내  * 기여도에 따라 차등 지급 생활비성"," *  ""진리·긍지·봉사""의 모범이 되어 대학의 위상을 드높인 경북대학교 학부 재학생(진리) 전국 규모 이상의 학술상 수상 및 우수한 연구 실적으로 진리 탐구에 노력한 자(긍지) 각종 대내·외 활동 및 수상을 통하여 대학의 명성과 긍지를 고취시킨 자(봉사) 지역 및 대학 사회를 위한 봉사활동을 탁월하게 수행한 자","해당없음","2021-10-26~2021-11-08","해당없음","3명 내외","동일 공적으로 타 장학금을 수상한 자","지도교수 또는 학과장의 추천서 제출","* 교내장학금으로/ 신청시 학교 장학 공고 확인 필수추천서상장 및 보도자료 등 입증서류"
"1329","서강대학교","장진장학금","대학교","장학금","성적우수","특정대학","대학6학기/대학7학기/대학8학기이상","자연계열/특정학과","평점 3.5 이상의 성적 우수 학생 우대","해당없음","2020학년도 2학기 등록금 전액 * 타 장학금과의 중복 수혜 가능","성적이 우수하고 가정의 경제적 환경이 어려운 학생 우선 선발","해당없음","2021-10-25~2021-11-05","해당없음","1명","장학금 지급 학기에는 계속해서 등록하여야 하며/ 휴학시 장학금 지급 중단학교로부터 징계 또는 경고/ 불미스런 일로 소환된 사실이 없어야 함","지도교수 서명 포함 신청서 제출"," * 학교 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수.장학금 신청서성적증명서개인정보 수집 및 이용 동의서"
"1330","서강대학교","마리오엄백용장학금","대학교","장학금","성적우수","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학신입생","사회계열/특정학과","직전학기 평균평점 2.00 이상인 학생 (2~7학기생의 경우)CGPA 2.00 이상인 학생","해당없음","생활비 1000000원","경제학 제 1전공 학부생 2~7학기 재학생","해당없음","2022-05-01~2022-05-31","서류전형 및 면접","해당없음","해당없음","지도교수 면담 후 추천","신청서 및 지도교수 추천서성적증명서(국문)자기소개 및 학업계획서한국장학재단 소득분위 조회화면 캡쳐본(요청시에만) 기타 증빙 * 교내장학금으로/ 자세한 사항은 서강대학교 경제학부 공지사항 참고"
"1331","서강대학교","다산장학금","대학교","장학금","소득구분","특정대학","대학2학기/대학3학기/대학4학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 12학점 이상 취득/ 평점 2.0 이상","가계곤란(국가장학금 소득분위 8분위 이내)","수업료 전액 수업료의 2/3 1/3 1/6","재학생 및 복학예정 휴학생","해당없음","2022-08-02~2022-08-31","해당없음","해당없음","해당없음","해당없음","장학금 신청서가족관계증명서(주민등록등본)재산세 관련 서류소득관련서류 건강보험료 납부확인서건강보험자격확인서개인정보 수집 및 활용동의서 * 자세한 사항은 첨부파일 또는 학교홈페이지 장학게시판 참고"
"1332","서강대학교","발전기금장학금","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 9학점 이상 취득/ 평점 2.0/4.3 이상","20222학기 국가장학금 신청자로 소득분위 9분위 이내인 학생","등록금 범위 내 지급","20222학기 기준 2학기 ~ 8학기 재학생동문 선배님/ 교직원 선생님들이 장학기금으로 기부해주신 장학금으로/ 기부자가 제시한 기준에 따라 지원금액/ 선발조건/ 학년/ 전공 등이 다양","해당없음","2022-08-01~2022-08-31","소득분위/ 성적/ 자기소개서 내용 등","약 60명 내외","신입생 및 초과학기생 신청 불가중복수혜 금지","해당없음"," * 홈페이지 공고 첨부파일일 참고"
"1333","서강대학교","후생복지장학금","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","가계곤란자","해당없음","서강대학교 재학생후생복지장학금 심사는 '국가장학금' 신청을 통한 소득분위 배정에 근거하여 선발함.후생복지장학금 신청자들은 국가장학금(2차) 신청을 의무적으로 하여야 함. * 국가장학금(1차)을 이미 신청한 학생들은 다시 신청할 필요 없음","해당없음","2022-04-08~2022-04-18","20222 국가장학금 학자금지원구간(소득분위) 기준으로 선발","30명 내외","초과학기생(9학기 이상)은 선발에서 제외됨","해당없음"," * 서강대 교내장학금으로 장학부서 문의 필수학교 시스템으로 신청후생복지장학금 심사는 국가장학금 신청을 통한 소득분위 배정에 근거하여 선발  * 자세한 사항은 홈페이지 공고 참고"
"1334","서강대학교","서강영문교수장학생","대학교","장학금","성적우수","특정대학","대학2학기/대학3학기/대학4학기/대학6학기/대학7학기/대학8학기이상","특정학과","직전학기 평점평균 3.0이상","소득분위 0~8분위","1000000원 * 학업지원금","서강대학교 영문과(1전공) 재학생으로 직전학기 평점평균 3.0이상이며 소득분위 0~8분위 이내인 자","해당없음","2022-08-19~2022-08-25","해당없음","1명"," * 자세한 사항은 학생지원팀으로 문의","해당없음","발전기금장학금신청서 * 서강대학교 학생지원팀 메일로 제출"
"1335","백마장학회","장학생","민간(기타)","장학금","성적우수","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","성적 B0 이상","해당없음","1000000원 * 생활비 지원","현재 충남대학교 재학중인 학부생으로 충남대학교 학부 출신 교수의 추천을 받은 자백마장학회(충남대학교 졸업생 모임) 회원 활동 필수","해당없음","2022-07-01~2022-07-30","인터넷접수 후 백마장학회 이사회를 통해 선발선발우선순위  : 이사회 평가 점수가 높은 자 / 직전 학기 성적우수자 / 전학기 성적우수자 / 직전 학기 취득학점이 높은 자","O명","해당없음","충남대학교 학부 출신 교수 추천 (별도 추천서 양식 없음)","장학금 신청서충남대학교 학부 출신 교수 추천서성적증명서 * 자세한 사항은 첨부파일 참조"
